"","jiscode","name","lat","lon","total_pop","total_migr","China","Korea","Vietnam","Philippines","Brazil","Nepal","Taiwan","US","Others","migr_rate"
"71","11215","ã∑éRés","35.852986","139.412207",152405,2517,576,176,212,694,189,39,38,46,547,0.0165152061940225
"372","40203","ãvóØïƒés","33.319291","130.508389",304552,3837,718,255,950,1114,44,298,28,47,383,0.0125988336967086
"388","45201","ã{çËés","31.90767","131.420197",401138,2127,409,296,449,148,12,153,26,89,545,0.00530241463037658
"25","04101","êÂë‰és ê¬ótãÊ","38.269081","140.870458",310183,6181,2076,779,767,167,33,534,127,182,1516,0.019926946351025
"343","34205","îˆìπés","34.408892","133.204994",138626,2474,402,121,495,794,51,0,32,18,561,0.0178465800066366
"54","10202","çÇçËés","36.321865","139.003565",370884,5298,1450,456,702,887,285,196,123,130,1069,0.0142847898534313
"103","12221","î™êÁë„és","35.72246","140.099819",193152,5270,1157,414,633,838,671,350,87,62,1058,0.027284211398277
"94","12206","ñÿçXí√és","35.381208","139.924905",134141,2286,450,327,341,480,120,20,35,43,470,0.0170417694813666
"22","03201","ê∑â™és","39.701981","141.154259",297631,1434,449,279,132,110,3,48,34,57,322,0.00481804650725227
"270","27118","ëÂç„és èÈìåãÊ","34.703199","135.544812",164697,5387,1531,2525,311,156,37,44,183,68,532,0.0327085496396413
"77","11224","åÀìcés","35.817579","139.677825",136150,7186,3659,765,849,529,101,323,132,52,776,0.0527800220345208
"374","40217","í}éáñÏés","33.496386","130.515607",101081,630,159,152,92,68,1,30,11,19,98,0.00623262532028769
"121","13116","ñLìáãÊ","35.726126","139.716597",291167,30672,12780,2593,3815,513,84,3653,1313,457,5464,0.105341608080586
"68","11208","èäëÚés","35.799549","139.46876",340386,5474,1954,685,515,616,217,248,180,131,928,0.0160817424923469
"260","26103","ãûìsés ç∂ãûãÊ","35.048569","135.778548",168266,7273,2121,2165,123,84,44,80,405,295,1956,0.0432232298860138
"387","44202","ï ï{és","33.284619","131.491172",122138,4343,921,735,487,153,13,99,112,125,1698,0.0355581391540716
"53","10201","ëOã¥és","36.389276","139.063558",336154,6709,1212,461,1141,986,386,607,60,82,1774,0.0199581144356456
"341","34108","çLìáés ç≤îåãÊ","34.364551","132.360875",136699,1012,160,299,160,134,10,6,6,37,200,0.00740312657737072
"37","07202","âÔí√é·èºés","37.494694","139.92974",124062,808,190,140,131,103,1,11,31,27,174,0.00651287259596008
"171","14151","ëäñÕå¥és óŒãÊ","35.595639","139.33759",173612,3235,853,313,591,354,82,139,75,74,754,0.0186335045964565
"334","33203","í√éRés","35.069329","134.004376",103746,815,208,134,171,96,31,0,12,19,144,0.00785572455805525
"217","22211","î÷ìcés","34.717897","137.851496",167210,7786,509,116,335,1129,4627,27,24,20,999,0.0465642007056994
"363","40109","ñkã„èBés î™î¶êºãÊ","33.866376","130.764265",256117,3199,994,1020,361,168,7,92,30,41,486,0.0124903852536146
"266","26204","âFé°és","34.884432","135.799771",184678,2819,781,1259,138,109,16,41,54,46,375,0.0152644061555789
"146","13229","êºìåãûés","35.725754","139.538451",200012,4542,1870,885,269,298,36,80,221,128,755,0.0227086374817511
"390","45203","âÑâ™és","32.582306","131.664898",125159,342,91,66,33,48,0,2,3,11,88,0.00273252422918048
"394","47201","ìﬂîeés","26.212295","127.679218",319435,4518,990,488,487,270,50,1053,367,221,592,0.0141437225100568
"393","46218","ñ∂ìáés","31.741031","130.763061",125857,605,201,57,95,87,0,31,20,18,96,0.0048070429137831
"316","28204","êºã{és","34.737829","135.341897",487850,6755,1233,3162,498,183,121,119,139,261,1039,0.0138464692015989
"189","15202","í∑â™és","37.446452","138.851105",275133,2310,794,116,377,346,95,23,29,44,486,0.00839593941839038
"180","14211","ê`ñÏés","35.374766","139.220154",167378,3454,627,221,459,190,501,61,64,40,1291,0.0206359258683937
"30","04202","êŒä™és","38.434239","141.302768",147214,1112,191,100,308,136,10,8,9,39,311,0.00755362941024631
"43","08217","éÊéËés","35.911435","140.050371",106570,1633,373,162,265,187,125,144,40,30,307,0.015323261705921
"303","27223","ñÂê^és","34.739334","135.587598",123576,2933,1324,798,343,160,18,38,21,17,214,0.0237343820806629
"157","14112","â°ïlés àÆãÊ","35.474733","139.544794",247144,2843,934,426,243,314,32,105,74,62,653,0.0115034150131098
"368","40135","ïüâ™és êºãÊ","33.582848","130.323116",206868,3037,1229,465,166,85,12,27,69,126,858,0.0146808592919156
"360","39201","çÇímés","33.558781","133.531337",337190,1720,488,292,212,243,12,35,43,83,312,0.00510098164239746
"198","20201","í∑ñÏés","36.648533","138.194295",377598,3708,1574,525,337,353,112,46,75,80,606,0.00981996726677578
"187","15103","êVäÉés íÜâõãÊ","37.922505","139.043278",183767,2032,496,354,402,117,24,120,18,62,439,0.0110574803963715
"274","27122","ëÂç„és êºê¨ãÊ","34.634901","135.494311",111883,9041,1991,3864,1763,276,49,93,286,40,679,0.0808076293985681
"1","01101","éDñyés íÜâõãÊ","43.05539","141.34098",237627,2581,755,559,173,76,15,51,141,170,641,0.0108615603445736
"224","23105","ñºå√âÆés íÜë∫ãÊ","35.168699","136.872965",133206,6588,1120,1334,1327,409,140,1240,88,107,823,0.0494572316562317
"218","22212","èƒí√és","34.867056","138.323169",139462,3993,419,107,325,1645,829,44,7,17,600,0.0286314551634137
"273","27121","ëÂç„és ìåèZãgãÊ","34.622012","135.5268",126299,3553,949,1649,284,140,12,18,159,41,301,0.0281316558325877
"57","10205","ëæìcés","36.291624","139.375723",219807,11047,1213,409,1427,1665,3119,503,34,70,2607,0.0502577260960752
"225","23107","ñºå√âÆés è∫òaãÊ","35.150204","136.934044",107170,4654,1605,711,455,244,72,191,93,138,1145,0.0434263319958944
"280","27141","ç‰és ç‰ãÊ","34.573684","135.482861",148205,4543,1160,1497,734,301,153,28,102,36,532,0.0306534867244695
